Iteration,BestSelection,TabuSelection3,TabuSelection15
0,19857.0,19857.0,19857.0
1,18662.0,18662.0,18662.0
2,17672.0,17672.0,17672.0
3,16789.0,16789.0,16789.0
4,15737.0,15737.0,15737.0
5,14800.0,14800.0,14800.0
6,13937.0,13937.0,13937.0
7,13151.0,13151.0,13151.0
8,12469.0,12469.0,12469.0
9,11834.0,11834.0,11834.0
10,11269.0,11269.0,11269.0
11,10570.0,10570.0,10570.0
12,10027.0,10027.0,10027.0
13,9662.0,9662.0,9662.0
14,9147.0,9147.0,9147.0
15,8794.0,8794.0,8794.0
16,8501.0,8501.0,8501.0
17,8202.0,8202.0,8202.0
18,7970.0,7970.0,7970.0
19,7740.0,7740.0,7740.0
20,7521.0,7521.0,7521.0
21,7269.0,7269.0,7269.0
22,7063.0,7063.0,7063.0
23,6866.0,6866.0,6866.0
24,6684.0,6684.0,6684.0
25,6516.0,6516.0,6516.0
26,6349.0,6349.0,6349.0
27,6224.0,6224.0,6224.0
28,6106.0,6106.0,6106.0
29,6001.0,6001.0,6001.0
30,5918.0,5918.0,5918.0
31,5837.0,5837.0,5837.0
32,5766.0,5766.0,5766.0
33,5614.0,5614.0,5614.0
34,5561.0,5561.0,5561.0
35,5540.0,5540.0,5540.0
36,5519.0,5519.0,5519.0
37,5428.0,5428.0,5428.0
38,5384.0,5384.0,5384.0
39,5306.0,5306.0,5306.0
40,5305.0,5305.0,5305.0
41,5305.0,5305.0,5305.0
42,5305.0,5305.0,5305.0
43,5305.0,5306.0,5306.0
44,5305.0,5306.0,5308.0
45,5305.0,5305.0,5313.0
46,5305.0,5305.0,5268.0
47,5305.0,5305.0,5236.0
48,5305.0,5305.0,5245.0
49,5305.0,5306.0,5254.0
50,5305.0,5306.0,5275.0
51,5305.0,5305.0,5273.0
52,5305.0,5305.0,5299.0
53,5305.0,5305.0,5313.0
54,5305.0,5305.0,5274.0
55,5305.0,5306.0,5276.0
56,5305.0,5306.0,5276.0
57,5305.0,5305.0,5267.0
58,5305.0,5305.0,5258.0
59,5305.0,5305.0,5256.0
60,5305.0,5305.0,5255.0
61,5305.0,5306.0,5255.0
62,5305.0,5306.0,5258.0
63,5305.0,5305.0,5267.0
64,5305.0,5305.0,5276.0
65,5305.0,5305.0,5306.0
66,5305.0,5305.0,5279.0
67,5305.0,5306.0,5310.0
68,5305.0,5306.0,5311.0
69,5305.0,5305.0,5325.0
70,5305.0,5305.0,5357.0
71,5305.0,5305.0,5357.0
72,5305.0,5305.0,5325.0
73,5305.0,5306.0,5311.0
74,5305.0,5306.0,5302.0
75,5305.0,5305.0,5293.0
76,5305.0,5305.0,5290.0
77,5305.0,5305.0,5289.0
78,5305.0,5305.0,5258.0
79,5305.0,5306.0,5258.0
80,5305.0,5306.0,5260.0
81,5305.0,5305.0,5264.0
82,5305.0,5305.0,5238.0
83,5305.0,5305.0,5247.0
84,5305.0,5305.0,5256.0
85,5305.0,5306.0,5277.0
86,5305.0,5306.0,5275.0
87,5305.0,5305.0,5275.0
88,5305.0,5305.0,5254.0
89,5305.0,5305.0,5245.0
90,5305.0,5305.0,5236.0
91,5305.0,5306.0,5236.0
92,5305.0,5306.0,5237.0
93,5305.0,5305.0,5239.0
