Width,Instance,Runtime, Solution
1,0,0.1,0
1,1,74214,28
1,2,617,22
1,3,183,18
1,4,44,18
1,5,249,21
1,6,4487,23
1,7,456,23
1,8,765,24
1,9,360,19
1,10,1663,24
1,11,18647,25
1,12,26,20
1,13,63,16
1,14,859,26
1,15,34,17
1,16,337,20
1,17,3385,22
1,18,409,20
1,19,78,20
1,20,16566,26
50,0,0.1,0
50,1,6,12
50,2,3,10
50,3,3,10
50,4,3,11
50,5,3,9
50,6,2,9
50,7,5,19
50,8,2,9
50,9,3,10
50,10,5,21
50,11,2,10
50,12,2,10
50,13,3,10
50,14,5,13
50,15,2,10
50,16,2,10
50,17,2,9
50,18,2,10
50,19,4,14
50,20,2,10
100,0,0.1,0
100,1,5,12
100,2,5,10
100,3,6,10
100,4,5,11
100,5,5,10
100,6,5,10
100,7,4,10
100,8,5,10
100,9,5,11
100,10,5,10
100,11,13,39
100,12,5,10
100,13,6,10
100,14,6,11
100,15,5,10
100,16,4,10
100,17,5,11
100,18,5,10
100,19,5,11
100,20,4,11
1000,0,0.1,0
1000,1,50,12
1000,2,52,11
1000,3,46,10
1000,4,49,11
1000,5,50,11
1000,6,51,11
1000,7,43,11
1000,8,44,10
1000,9,50,11
1000,10,55,11
1000,11,43,11
1000,12,45,12
1000,13,44,11
1000,14,39,11
1000,15,40,11
1000,16,35,11
1000,17,38,11
1000,18,37,11
1000,19,44,12
1000,20,37,11
2000,0,0.1,0
2000,1,73,12
2000,2,73,11
2000,3,68,10
2000,4,82,11
2000,5,113,11
2000,6,109,11
2000,7,102,11
2000,8,90,11
2000,9,100,11
2000,10,96,11
2000,11,90,11
2000,12,84,12
2000,13,85,11
2000,14,80,11
2000,15,83,11
2000,16,71,11
2000,17,73,11
2000,18,75,11
2000,19,74,12
2000,20,72,11
5000,0,0.1,0
5000,1,184,12
5000,2,200,12
5000,3,188,11
5000,4,188,11
5000,5,185,11
5000,6,172,11
5000,7,179,11
5000,8,184,11
5000,9,193,11
5000,10,191,11
5000,11,183,11
5000,12,171,12
5000,13,203,11
5000,14,202,11
5000,15,191,11
5000,16,186,11
5000,17,193,11
5000,18,193,11
5000,19,190,12
5000,20,272,11
10000,0,0.1,0
10000,1,405,12
10000,2,413,12
10000,3,398,11
10000,4,424,12
10000,5,428,11
10000,6,392,11
10000,7,419,11
10000,8,434,11
10000,9,400,11
10000,10,397,11
10000,11,539,11
10000,12,509,12
10000,13,578,11
10000,14,634,11
10000,15,585,11
10000,16,540,11
10000,17,457,11
10000,18,603,11
10000,19,441,12
10000,20,399,12
