FF-10,LP-10,FF-20,LP-20,FF-30,LP-30,FF-40,LP-40,
39,4042,10,4128,11,4104,10,4019,
16,3748,9,3770,9,3807,9,3791,
32,,21,,21,20649,20,20655,
3,,2,,2,,1,1942,
5,,4,,4,,5,1762,
6,,5,,9,,5,1851,
11,,10,,10,,10,4147,
7,,6,,6,,6,,
2,,2,,2,,2,,
7,,6,,6,,6,,
4,,3,,3,,3,,
3,,3,,3,,3,,
12,,10,,11,,11,,
13,,12,,14,,12,,
4,,3,,3,,3,,
16,,14,,16,,14,,
5,,4,,5,,4,,
20,,19,,19,,19,,
8,,7,,7,,7,,
9,,8,,9,,9,,
27,,26,,26,,26,,
13,,12,,12,,12,,
13,,13,,12,,12,,
5,,4,,4,,4,,
1,,0,,0,,0,,
0,,0,,0,,0,,
20,,19,,19,,19,,
18,,17,,18,,16,,
27,,34,,27,,26,,
14,,14,,15,,16,,
3,,3,,3,,4,,
8,,8,,9,,9,,
3,,3,,3,,4,,
28,,28,,28,,32,,
9,,10,,10,,10,,
29,,29,,29,,29,,
1,,1,,1,,1,,
15,,15,,15,,15,,
9,,9,,9,,9,,
3,,3,,2,,2,,
7,,7,,6,,6,,
17,,17,,16,,17,,
7,,7,,7,,7,,
6,,6,,6,,6,,
0,,0,,0,,0,,
0,,0,,0,,0,,
4,,5,,4,,4,,
1,,1,,1,,1,,
12,,11,,11,,11,,
3,,3,,3,,3,,
9,,9,,9,,9,,
8,,8,,8,,8,,
21,,19,,19,,19,,
1,,1,,1,,1,,
4,,4,,4,,4,,
5,,5,,5,,5,,
10,,9,,9,,10,,
6,,6,,6,,6,,
1,,1,,1,,1,,
6,,6,,6,,6,,
3,,3,,3,,3,,
3,,3,,3,,3,,
10,,10,,10,,10,,
12,,15,,12,,12,,
3,,2,,2,,2,,
15,,14,,14,,14,,
4,,4,,4,,4,,
19,,19,,20,,19,,
7,,6,,7,,6,,
9,,8,,8,,8,,
27,,25,,26,,26,,
13,,12,,12,,12,,
13,,12,,12,,12,,
4,,4,,4,,4,,
0,,0,,0,,0,,
